STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,ELEVATION,Elevation,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2013,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2014,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2015,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2016,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2017,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2018,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2019,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2020,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2021,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2022,,33,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2023,,33,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2024,,33,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2010,,2951,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2011,,2900,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2012,,2850,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2013,,2830,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2014,,2841,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2015,,2851,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2016,,2854,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2017,,2857,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2018,,2857,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2019,,2854,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2020,,2854,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2021,,2853,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2022,,3081,,N,units,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2023,,3076,,N,units,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,10M,0-10 meters above sea level,2024,,3070,,N,units,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2010,,8485,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2011,,8337,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2012,,8194,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2013,,8135,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2014,,8168,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2015,,8196,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2016,,8204,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2017,,8215,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2018,,8214,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2019,,8204,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2020,,8205,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2021,,8201,,N,units,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2022,,8480,,N,units,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2023,,8465,,N,units,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,PW,Palau,LECZPOPAF,Population in low elevation coastal zone in absolute frequency,20M,0-20 meters above sea level,2024,,8450,,N,units,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2010,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2011,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2012,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2013,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2014,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2015,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2016,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2017,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2018,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2019,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2020,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2021,,6,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2022,,4,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2023,,4,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,GU,Guam,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2024,,4,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2010,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2011,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2012,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2013,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2014,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2015,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2016,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2017,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2018,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2019,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,WS,Samoa,LECZPOPRF,Population in low elevation coastal zone in relative frequency,20M,0-20 meters above sea level,2020,,41,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
